Date,Weekday,Person,Shift Start Time,Shift End Time,Activity,Activity Start Time,Activity End Time,Day Off
2024-02-26,Monday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:15:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-02-26,Monday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,21:45:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,Break,21:45:00,22:00:00,
2024-02-27,Tuesday,Person 1,15:30:00,00:00:00,On Queue,22:00:00,00:00:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:30:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,Break,22:30:00,22:45:00,
2024-02-28,Wednesday,Person 1,15:30:00,00:00:00,On Queue,22:45:00,00:00:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,19:45:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,Meal,19:45:00,20:15:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,On Queue,20:15:00,22:15:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-02-29,Thursday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:00:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,Break,17:00:00,17:15:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,On Queue,17:15:00,20:00:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:15:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-01,Friday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,21:45:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,Break,21:45:00,22:00:00,
2024-03-04,Monday,Person 1,15:30:00,00:00:00,On Queue,22:00:00,00:00:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,19:45:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,Meal,19:45:00,20:15:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,On Queue,20:15:00,22:00:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,Break,22:00:00,22:15:00,
2024-03-05,Tuesday,Person 1,15:30:00,00:00:00,On Queue,22:15:00,00:00:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:00:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,Break,17:00:00,17:15:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,On Queue,17:15:00,19:45:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,Meal,19:45:00,20:15:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,On Queue,20:15:00,22:15:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-06,Wednesday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,19:45:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,Meal,19:45:00,20:15:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,On Queue,20:15:00,22:15:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-07,Thursday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:15:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-08,Friday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,21:30:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,Break,21:30:00,21:45:00,
2024-03-11,Monday,Person 1,15:30:00,00:00:00,On Queue,21:45:00,00:00:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,19:45:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,Meal,19:45:00,20:15:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,On Queue,20:15:00,22:30:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,Break,22:30:00,22:45:00,
2024-03-12,Tuesday,Person 1,15:30:00,00:00:00,On Queue,22:45:00,00:00:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,21:45:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,Break,21:45:00,22:00:00,
2024-03-13,Wednesday,Person 1,15:30:00,00:00:00,On Queue,22:00:00,00:00:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:15:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-14,Thursday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:30:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,Break,22:30:00,22:45:00,
2024-03-15,Friday,Person 1,15:30:00,00:00:00,On Queue,22:45:00,00:00:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Extra Hours,10:00:00,11:45:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Break,11:45:00,12:00:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Extra Hours,12:00:00,14:15:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Meal,14:15:00,14:45:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Extra Hours,14:45:00,16:15:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Break,16:15:00,16:30:00,
2024-03-16,Saturday,Person 1,10:00:00,18:30:00,Extra Hours,16:30:00,18:30:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,Break,17:15:00,17:30:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,On Queue,17:30:00,20:00:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:15:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,Break,22:15:00,22:30:00,
2024-03-18,Monday,Person 1,15:30:00,00:00:00,On Queue,22:30:00,00:00:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:00:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,Break,17:00:00,17:15:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,On Queue,17:15:00,20:00:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,Meal,20:00:00,20:30:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,On Queue,20:30:00,22:30:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,Break,22:30:00,22:45:00,
2024-03-19,Tuesday,Person 1,15:30:00,00:00:00,On Queue,22:45:00,00:00:00,
2024-03-20,Wednesday,Person 1,15:30:00,00:00:00,On Queue,15:30:00,17:15:00,
